delay,stdConcurrency,memorySize,userMemory,averageWaitTime,averageUserSideDelay,averageStartLatency,averageInitTime,averageDuration,achievedAverageRate,stdDevDuration,stdDevInitTime,stdDevStartLatency,stdDevUserSideDelay,stdDevWaitTime,successPercentage,coldStarts
7000,1,1024,8192, 64532.58, 64551.17, 64551.17, 0, 0, 3.48, 0, 0, 5482.58, 5482.58, 5487.16, 0, 0
7000,1,1024,6144, 2441.2, 2986.84, 2457.68, 42.32, 529.16, 7.31, 1142.15, 115.25, 6578.89, 7413.28, 6570.25, 100, 3
7000,1,1024,4096, 3263.17, 3997.83, 3278.25, 22.67, 719.58, 7.19, 1356.65, 73.06, 8949.68, 10234.57, 8942.62, 100, 3
7000,1,2048,8192, 2476.08, 3360.29, 2493.17, 19.38, 867.13, 7.18, 2273.91, 75.56, 6681.52, 8262.52, 6669.41, 100, 3
7000,1,2048,6144, 3172.68, 4420.72, 3201.12, 70.56, 1219.6, 7.35, 1716.18, 193.75, 7334.74, 7907.89, 7331.72, 100, 4
7000,1,2048,4096, 2268.92, 2932.21, 2285, 22.92, 647.21, 7.18, 607.99, 72.61, 6072.61, 6339.21, 6061.04, 100, 3
7000,1,4096,8192, 808.86, 1267.5, 824.18, 8.36, 443.32, 6.58, 486.54, 38.33, 3385.47, 3735.86, 3367.42, 100, 1
7000,1,4096,6144, 2502.25, 3086.42, 2518.5, 40.38, 567.92, 7.16, 821.39, 147.79, 6781.54, 7159.74, 6772.08, 100, 3
7000,1,4096,4096, 2453.96, 2731.88, 2468.8, 20.76, 263.08, 7.31, 151.84, 82.46, 6747.44, 6876.03, 6740.42, 100, 3
7000,5,1024,8192, 1134.25, 1394.17, 1149.83, 1.38, 244.33, 7.19, 112.6, 6.59, 3504.63, 3602.05, 3487.23, 100, 1
7000,5,1024,6144, 868.16, 1200.08, 884.6, 12.04, 315.48, 7.29, 192.38, 58.98, 2973.02, 3146.08, 2952.67, 100, 1
7000,5,1024,4096, 639.36, 901.08, 653.24, 39.12, 247.84, 7.31, 222.47, 191.65, 2270.17, 2483.21, 2252.6, 100, 1
7000,5,2048,8192, 852.8, 1158.32, 869.56, 2.36, 288.76, 7.27, 173.85, 11.56, 2926.41, 3050.61, 2904.65, 100, 1
7000,5,2048,6144, 897.48, 1172.36, 911.76, 1.76, 260.6, 7.28, 130.42, 8.62, 3079.95, 3166.65, 3063, 100, 1
7000,5,2048,4096, 775.76, 1030, 794.08, 12.12, 235.92, 7.25, 109.94, 59.38, 2660.87, 2766.77, 2640.88, 100, 1
7000,5,4096,8192, 831.2, 1082.08, 845.24, 11.56, 236.84, 7.26, 123.68, 56.63, 2896.16, 3018.49, 2878.72, 100, 1
7000,5,4096,6144, 944.32, 1252.6, 961.84, 1.92, 290.76, 7.25, 173.68, 9.41, 3159.02, 3247.79, 3141.86, 100, 1
7000,5,4096,4096, 962.72, 1214.8, 977, 1.36, 237.8, 7.26, 60.91, 6.66, 3160.28, 3201.79, 3144.13, 100, 1
7000,10,1024,8192, 840.8, 1090.8, 856.56, 12.16, 234.24, 7.25, 95.78, 59.57, 2929.18, 3021.41, 2912.25, 100, 1
7000,10,1024,6144, 842.29, 1159.79, 860.25, 39.42, 299.54, 7.15, 240.8, 189.04, 2830.52, 3053.75, 2811.48, 100, 1
7000,10,1024,4096, 746.56, 1042.24, 762.4, 30.48, 279.84, 7.35, 247.42, 149.32, 2606.05, 2850.19, 2590.51, 100, 1
7000,10,2048,8192, 1087, 1345, 1101.79, 7.96, 243.21, 7.12, 109.97, 38.17, 3450.89, 3549.35, 3434.55, 100, 1
7000,10,2048,6144, 892.24, 1200.6, 908.04, 34.72, 292.56, 7.27, 223.72, 170.09, 3001.21, 3202.63, 2977.29, 100, 1
7000,10,2048,4096, 826.67, 1084.08, 842, 1.92, 242.08, 7.16, 78.15, 9.19, 2856.84, 2918.23, 2839.86, 100, 1
7000,10,4096,8192, 1195.95, 1511.9, 1206.19, 1.48, 305.71, 6.25, 226.89, 6.6, 3592.35, 3777.16, 3591.69, 100, 1
7000,10,4096,6144, 809.21, 1220.71, 824.79, 5.75, 395.92, 7.19, 725.46, 27.58, 2777.79, 2916.03, 2761.9, 100, 1
7000,10,4096,4096, 1078.92, 1342.42, 1092.75, 21.25, 249.67, 7.15, 147.96, 101.91, 3406.86, 3545.67, 3391.53, 100, 1
4000,1,1024,8192, 9220.4, 10222.36, 9275.93, 4.83, 946.43, 12.42, 2491.69, 12.42, 19752.03, 20478.46, 19765.22, 98, 6
4000,1,1024,6144, 3717.33, 4073.69, 3734.1, 56.57, 339.6, 12.45, 326.98, 208.63, 10352.77, 10665.86, 10345.98, 100, 5
4000,1,1024,4096, 2292.45, 2593.83, 2306.57, 20.33, 287.26, 12.42, 195.69, 110.96, 5888.09, 6070.62, 5881.62, 100, 3
4000,1,2048,8192, 4851.45, 5507.36, 4868.81, 132.67, 638.55, 12.47, 803.25, 437.54, 12308.55, 12866.58, 12301.2, 100, 6
4000,1,2048,6144, 4266.67, 4633.19, 4281.26, 15.48, 351.93, 12.48, 472.71, 50.19, 12535.8, 12709.39, 12532.01, 100, 5
4000,1,2048,4096, 2655.34, 3098.27, 2668.76, 53.15, 429.51, 12.2, 740.36, 254.76, 6291.44, 6872.84, 6283.54, 100, 3
4000,1,4096,8192, 3983.12, 4421.49, 3999.66, 107.54, 421.83, 12.06, 545.95, 468.69, 10925.03, 11374.7, 10921.25, 100, 5
4000,1,4096,6144, 3893.33, 4291.95, 3908.26, 65.33, 383.69, 12.55, 387.65, 267.99, 11038.6, 11269.41, 11031.8, 100, 5
4000,1,4096,4096, 3847, 4579.05, 3859.73, 2.49, 719.32, 12.23, 2099.3, 9.57, 7482.53, 8807.58, 7476.65, 100, 3
4000,5,1024,8192, 799.37, 1096.71, 814.2, 11.15, 282.51, 12.09, 120.59, 70.5, 2593.57, 2684.91, 2582.03, 100, 1
4000,5,1024,6144, 864.67, 1252.43, 877.69, 0.83, 374.74, 12.39, 726.03, 5.34, 2918.33, 3020.11, 2907.01, 100, 1
4000,5,1024,4096, 785.02, 1046.05, 797.17, 0.68, 248.88, 12.25, 114.87, 4.32, 2697.78, 2781.02, 2687.35, 100, 1
4000,5,2048,8192, 814.33, 1119.14, 827.21, 0.83, 291.93, 12.42, 191.22, 5.34, 2767.06, 2927.28, 2756.04, 100, 1
4000,5,2048,6144, 882.69, 1157.17, 895.64, 9.45, 261.52, 12.37, 169.26, 60.52, 2954.01, 3114.14, 2943.3, 100, 1
4000,5,2048,4096, 1015.17, 1311.21, 1028.26, 4.79, 282.95, 12.37, 183.91, 30.64, 3311.66, 3466.39, 3300.36, 100, 1
4000,5,4096,8192, 712.21, 964.4, 725.5, 4.36, 238.9, 12.44, 99.45, 27.9, 2518.37, 2593.75, 2507.02, 100, 1
4000,5,4096,6144, 811.05, 1081.64, 823.48, 0.79, 258.17, 12.4, 112.5, 5.03, 2781.32, 2870.12, 2770.79, 100, 1
4000,5,4096,4096, 815.02, 1068.55, 827.55, 4.6, 241, 12.38, 101.77, 29.42, 2741.78, 2828.78, 2730.77, 100, 1
4000,10,1024,8192, 812.43, 1106.4, 825.14, 24.55, 281.26, 12.41, 249.99, 157.18, 2749.15, 2970.84, 2738.95, 100, 1
4000,10,1024,6144, 794.24, 1073.34, 806.76, 19.76, 266.59, 12.26, 176.62, 124.95, 2593.68, 2745.18, 2583.1, 100, 1
4000,10,1024,4096, 995.39, 1312.68, 1009.05, 11.17, 303.63, 12.3, 177.8, 70.65, 3223.77, 3387.37, 3212.59, 100, 1
4000,10,2048,8192, 980.5, 1266.21, 993.07, 4.67, 273.14, 12.43, 170.42, 29.88, 3236.79, 3371.9, 3226.42, 100, 1
4000,10,2048,6144, 778.19, 1046.57, 791.55, 13.05, 255.02, 12.45, 150.31, 83.55, 2666.43, 2801.48, 2655.68, 100, 1
4000,10,2048,4096, 748.12, 1034.38, 761.74, 12.02, 272.64, 12.36, 168.3, 76.99, 2579.54, 2716.12, 2566.79, 100, 1
4000,10,4096,8192, 657.9, 925.86, 670.29, 18.31, 255.57, 12.43, 179.99, 117.24, 2324, 2488.15, 2312.69, 100, 1
4000,10,4096,6144, 673.07, 961.69, 689.57, 8.55, 272.12, 12.5, 115.57, 54.73, 2334.19, 2438.26, 2323.21, 100, 1
